Date,Open,High,Low,Close,Adj Close,Volume
2022-01-11,15582.719727,15848.559570,15496.910156,15844.120117,15844.120117,4378660000
2022-01-12,15955.480469,16017.389648,15815.950195,15905.099609,15905.099609,4321180000
2022-01-13,15970.089844,15990.379883,15468.089844,15495.620117,15495.620117,4283070000
2022-01-14,15396.469727,15617.179688,15396.469727,15611.589844,15611.589844,4345780000
2022-01-18,15378.059570,15446.299805,15182.959961,15210.759766,15210.759766,5027990000
2022-01-19,15287.250000,15382.000000,15038.440430,15047.839844,15047.839844,4639990000
2022-01-20,15176.379883,15347.620117,14832.690430,14846.459961,14846.459961,5078450000
2022-01-21,14728.660156,14868.450195,14432.639648,14438.400391,14438.400391,5845830000
2022-01-24,14160.910156,14532.570313,13724.849609,14509.580078,14509.580078,6982960000
2022-01-25,14237.599609,14410.429688,14033.809570,14149.120117,14149.120117,4981070000
2022-01-26,14492.519531,14646.540039,14006.400391,14172.759766,14172.759766,5734390000
2022-01-27,14346.459961,14419.450195,13972.879883,14003.110352,14003.110352,5155970000
2022-01-28,14091.309570,14457.780273,13880.480469,14454.610352,14454.610352,4955960000
2022-01-31,14505.070313,14934.519531,14442.879883,14930.049805,14930.049805,5111460000
2022-02-01,14966.599609,15034.419922,14749.490234,15019.679688,15019.679688,4650460000
2022-02-02,15173.030273,15196.400391,14960.849609,15139.740234,15139.740234,4647630000
2022-02-03,14693.849609,14856.509766,14471.200195,14501.110352,14501.110352,4306490000
2022-02-04,14566.280273,14832.049805,14452.280273,14694.349609,14694.349609,4104120000
2022-02-07,14716.429688,14813.860352,14524.629883,14571.250000,14571.250000,4253020000
2022-02-08,14533.250000,14785.219727,14485.780273,14747.030273,14747.030273,4277150000
2022-02-09,14930.990234,15057.900391,14870.360352,15056.959961,15056.959961,4713210000
2022-02-10,14770.679688,15037.259766,14636.620117,14705.639648,14705.639648,5191050000
2022-02-11,14739.459961,14769.639648,14194.540039,14253.839844,14253.839844,5222590000
2022-02-14,14233.400391,14400.780273,14119.730469,14268.589844,14268.589844,4301470000
2022-02-15,14482.110352,14624.530273,14444.459961,14620.820313,14620.820313,4393050000
2022-02-16,14514.839844,14647.790039,14399.290039,14603.639648,14603.639648,4224060000
